,BRIN,Schoolweging,KwaliteiOnderwijs,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4
0,00BB,33.49,5,0.044198225104072515,0.05181589662913728,0.02619593056279779,0.0,0.027370487612011836
1,00BW,28.36,5,0.03236946147690574,0.06695488082797203,0.004269592993800932,0.011195126024782297,0.026263802429631108
2,00DO,32.85,0,0.01502605761358042,0.12211564548809731,0.00812793084050329,0.012248094252714425,0.01769348242815671
3,00FI,31.1,0,0.025398536944259642,0.084340867236369,0.02188436178874557,0.011363073503327855,0.026620853634199613
4,01VG,30.35,5,0.02585168322083171,0.07241626791982,0.035510624445184005,0.005146380703077027,0.024228984064915124
5,01VG,21.94,5,0.02585168322083171,0.07241626791982,0.035510624445184005,0.005146380703077027,0.024228984064915124
6,01XU,22.51,1,0.0,0.1248735459828966,0.0,0.001380783772307321,0.00945993492009514
7,03AH,29.93,5,0.04077944501215564,0.0,0.19524455344952263,0.0,0.0
8,03AI,26.01,0,0.051404140674302996,0.044955717254841515,0.01718058929067991,0.02748400833172597,0.029526637389384682
9,03BA,25.04,5,0.06537762831098295,0.0,0.15793566588539595,0.0,0.0
10,03BS,29.7,0,0.0,0.008865495487100031,0.2217478317173692,0.0,0.0
11,03DJ,29.06,4,0.06603761009911112,0.04544068307579847,0.02636500877161907,0.0041866260412475485,0.024850037946906725
12,03EI,32.85,0,0.05173706591740192,0.03691224536846316,0.00428750621841061,0.014101929585769174,0.014967238626711904
13,03HA,28.58,0,0.006006880168981452,0.021820031766619872,0.19784025832696192,0.0,0.010985791731549765
14,03HD,30.98,0,0.0,0.14878402874847163,0.011867988019800702,0.007983847915626095,0.0008164494205873661
15,03JL,32.06,0,0.0,0.014498456559915218,0.20733494315524298,0.0,0.011497928663863118
16,03KT,29.03,0,0.08341707440022549,0.030905408301452126,0.006010331821322452,0.0011719698377284672,0.01792415960026831
17,03OK,32.84,5,0.0,0.0,0.2381155618712703,0.0,0.0
18,03ON,37.3,0,0.014520681814977343,0.09731013255778508,0.025316588070348898,0.022621878966092048,0.025008068686128603
19,03PH,27.39,5,0.0,0.0,0.0,0.0,0.3051167060729454
20,03PQ,31.14,0,0.029855102077045597,0.07612914432484706,0.07356198438426607,0.00479313301592216,0.00485099245502724
21,03PS,22.46,3,0.13506232599754722,0.010298197155647757,0.0,0.00010007545169638968,0.0
22,03QA,31.03,4,0.12978841312466394,0.0070405409025815725,0.0,0.0,0.0
23,03QF,27.99,5,0.021970731325041425,0.014533613611068199,0.1835001522526559,0.003999496822837354,0.001602810802506639
24,03QR,26.44,5,0.0,0.01160612049714841,0.2122153023480734,0.009498728721814623,0.01023408641410664
25,03RO,30.27,0,0.03755721004170902,0.08364081178226318,0.02514455245279062,0.010252711054570257,0.0356121207471593
26,03RO,26.26,0,0.03755721004170902,0.08364081178226318,0.02514455245279062,0.010252711054570257,0.0356121207471593
27,03SB,28.87,1,0.0,0.17803411384825535,0.0,0.0,0.01638681636744923
28,03SV,27.7,0,0.0,0.021508484311170334,0.2196105433662377,0.0,0.005184018556651796
29,03TD,30.36,4,0.08192086534021087,0.0188776420438603,0.013675975984097801,0.02802387377398219,0.007042251419470765
30,03TJ,26.61,1,0.0,0.1834988565095761,0.0013168144952844492,0.0020821414344446834,0.0
31,03UN,27.26,0,0.025069484687927246,0.054417460299804266,0.08792939433626383,0.005756959334601018,0.01333732907169016
32,03UY,29.07,5,0.10436315630331373,0.0,0.1153799563504834,0.0,0.0
33,03VA,28.93,5,0.046863905948939334,0.056691661251762684,0.011632539319412348,0.036075362165221156,0.03428985190201905
34,03VB,28.97,0,0.05195917420772601,0.06506059870542037,0.012605082531120245,0.018793715399189583,0.03355692700668377
35,03VC,33.58,0,0.0,0.0029667743927010953,0.22432952597254832,0.004061893841352339,0.002368804806040497
36,03VH,28.8,0,0.05704292802808946,0.04162911274208703,0.01667441372518442,0.03654738102448247,0.03541423255215275
37,03VL,27.97,5,0.0,0.01843431204149758,0.21960789027818395,0.007506896374491832,0.0
38,03VP,28.3,0,0.0689957030114436,0.048322277631242944,0.02522589322551333,0.02944781361200868,0.02345314225159699
39,03VT,29.69,5,0.09412063897005545,0.0,0.10203884102750721,0.0,0.0
40,03VW,29.36,5,0.026954533790910933,0.0,0.20203753855203838,0.0,0.0
41,03WF,27.04,0,0.028375355334925703,0.012296265900701464,0.1685981113583893,0.016379423574279937,0.0005867436557431802
42,03WI,25.61,0,0.049317905707454035,0.0,0.16499422829657398,0.0,0.0
43,03XI,28.79,1,0.003944585355947661,0.1527876147487613,0.00966478611380935,0.004764045695269776,0.0
44,03YB,27.94,0,0.05581641163344397,0.058572939821801236,0.021458370022370502,0.0023209095654506554,0.0209684317103654
45,03YM,23.88,5,0.0,0.00385443090087713,0.2218350884357427,0.00224962306975282,0.001087161280225611
46,03YS,29.19,4,0.03838621688514104,0.004967542992417033,0.16542356504439004,0.0071992995860934725,0.0
47,03ZB,30.59,0,0.03525376061364122,0.057031917075774215,0.025072067062660124,0.021283084986593818,0.017091622766665586
48,04AA,24.13,0,0.007234729255155083,0.14362315689401145,0.014310978479667377,0.0,0.049779539816410284
49,04AZ,26.81,0,0.06242370682528852,0.05796177991408503,0.014863386862192098,0.03916566209270294,0.012120196119444194
50,04CN,30.41,0,0.0,0.008904947324722457,0.2172771112419679,0.0,0.0009065074403453291
51,04EC,27.55,0,0.04673297859034207,0.06505598787015708,0.011765147117298858,0.022890388199795653,0.009927264611856078
52,04FD,24.03,4,0.09799168978127147,0.019726576696736824,0.005438652097121967,0.015194996924628116,0.0019513883236399019
53,04FI,38.22,1,0.0,0.16820482901091324,0.0,0.006293631868675265,0.027450061259897983
54,04GX,29.96,5,0.0,0.0,0.0,0.0,0.3113392805760106
55,04JI,29.56,5,0.0566744617303622,0.0,0.1586361585177567,0.0,0.0
56,04JJ,33.26,0,0.0,0.029909960848759135,0.19661106890851257,0.001670350014725871,0.016808148020884053
57,04JV,25.63,1,0.0011211203894072057,0.17582849475348786,0.00680811072785236,0.001521355403809372,0.022659111148331867
58,04KI,24.44,5,0.0357920853687522,0.0633174994192805,0.014710573880828288,0.014907576777089116,0.03916311882617075
59,04KI,26.73,5,0.0357920853687522,0.0633174994192805,0.014710573880828288,0.014907576777089116,0.03916311882617075
60,04KU,29.34,4,0.01859066783951418,0.0,0.2140601121750894,0.004621174849289971,0.0
61,04LB,29.05,4,0.1361800681098713,0.0024750914425309247,0.0,0.0,0.0051873299065614
62,04LK,27.05,0,0.015076019889804533,0.0918041983783894,0.018235364503360132,0.0056976779907179954,0.0323764668856047
63,04LP,24.74,1,0.0,0.18036674566579047,0.005061247536835617,0.0004983149206178205,0.0
64,04MF,24.12,4,0.07449979081834002,0.043485934044545094,0.04329751584028206,0.013083584256790442,0.00012737762084302385
65,04NU,37.59,5,0.0,0.013522845259511711,0.0018494446169234223,0.0,0.2684348711147559
66,04NV,33.31,0,0.05781178548347855,0.0575348391715415,0.03655125931836941,0.0024342519560752005,0.021750565626734154
67,04OE,27.67,0,0.114003060075608,0.02757926778573784,0.007539416657349495,0.009556747875274758,0.009848903534069932
68,04OR,29.06,5,0.020131251015145905,0.07090849111376947,0.012988039834087542,0.018840087687947274,0.049747482153327124
