Row Number,School Name,Bestuursnummer,Brin,Sector,KwaliteiOnderwijs
1,Paulusschool,40676.0,15AI,PO,Voldoende
2,De Kleine Dichter,41400.0,17RK,PO,Geen eindoordeel
3,Stichting De Doorzetters,,28MZ,PO,Geen eindoordeel
4,"obs Rhoon, locatie De",41456.0,12LT,PO,Voldoende
5,,,29YP,PO,Geen eindoordeel
6,OBS de Horizon,41371.0,18LJ,PO,Voldoende
7,,45000.0,11MD,PO,Onvoldoende
8,De Regenboogschool,,28HY,PO,Voldoende
9,PCBO Het Kompas 17LT,82526.0,17LT,PO,Voldoende
10,,70002.0,03YM,PO,Geen eindoordeel
11,,83864.0,16WG,PO,Geen eindoordeel
12,OBS Darwin,41611.0,10VR,PO,Voldoende
13,De Olijfboom,41621.0,11RO,PO,Voldoende
14,Nederlandse School De,,28NT,PO,Voldoende
15,AZS De Vlieger,41345.0,19ML,PO,Geen eindoordeel
16,"De Sprong, 08QN",83280.0,08QN,PO,Geen eindoordeel
17,De Lichtbaak,32073.0,11KN,PO,Onvoldoende
18,,62662.0,17TC,PO,Onvoldoende
19,Basisschool Sint Michaël,41000.0,05BJ,PO,Goed
20,,75219.0,13KR,PO,Geen eindoordeel
21,Dutch School of Southern,,28NB,PO,Geen eindoordeel
22,,41645.0,19US,PO,Goed
23,obs De Zandplaat 18OL,41574.0,18OL,PO,Onvoldoende
24,2e Van der Huchtschool,97358.0,09DI,PO,Goed
25,OBS Bargerpaske - 18VQ-c1,41494.0,18VQ,PO,Onvoldoende
26,NTC-po 't Kofschip,,28FL,PO,Geen eindoordeel
27,"KC Boschveld, 15RJ",74049.0,15RJ,PO,Voldoende
28,Vrije School Johannes (04AZ),41246.0,04AZ,PO,Voldoende
29,Vrije School Valentijn,77456.0,06AF,PO,Voldoende
30,Openbare basisschool,41400.0,16NM,PO,Goed
31,OBS Elckerlyc,40969.0,04GX,PO,Geen eindoordeel
32,,47959.0,03VW,PO,Geen eindoordeel
33,,42826.0,32AT,PO,Geen eindoordeel
34,,41338.0,17LB,PO,Geen eindoordeel
35,Kindcentrum Impuls 16EC,80433.0,16EC,PO,Onvoldoende
36,OBS De Meerwaarde 11GH,41444.0,11GH,PO,Goed
37,Rooms Katholieke,42828.0,Unnamed_School,PO,Onvoldoende
38,OBDS de Reiziger (17TJ|C1),41616.0,17TJ,PO,Geen eindoordeel
39,"CBS Het Palet, 11CZ",41551.0,11CZ,PO,Voldoende
40,,43227.0,01XT,PO,Voldoende
41,,40812.0,07TM,PO,Voldoende
42,,41674.0,19BA,PO,Onvoldoende
43,,42559.0,05QH,PO,Voldoende
44,van Ostade school,41572.0,19NW,PO,Geen eindoordeel
45,,20281.0,27CH,PO,Geen eindoordeel
46,Tien voor taal Stichting,,28JM,PO,Voldoende
47,De Nederlandse School Parijs,,30YJ,PO,Voldoende
48,LanguageOne Shanghai-,,28LC,PO,Geen eindoordeel
49,Al Jawhara 30UE,30883.0,30UE,PO,Voldoende
50,,41574.0,16US,PO,Geen eindoordeel
51,de Buitenkans,42728.0,31DF,PO,Voldoende
52,,41674.0,19BA,PO,Onvoldoende
53,,35466.0,09KS,PO,Geen eindoordeel
54,De Duinsprong,78222.0,15JZ,PO,Goed
55,,30883.0,30UE,PO,Voldoende
56,De Windroos ntc primair,,30TM,PO,Geen eindoordeel
57,23FD|C1 Hindoeschool Shri,30709.0,23FD,PO,Voldoende
58,CBS De Verrekijker 07WP,41358.0,07WP,PO,Voldoende
59,"De Visserschool, 13FM",81316.0,13FM,PO,Voldoende
60,De Taaltoekel,,28ER,PO,Voldoende
61,NTC-po De Eekhoorn,,29XD,PO,Voldoende
62,basisschool De Vossenberg,40874.0,13YW,PO,Onvoldoende
63,KBS Sint Anna (06XP),73191.0,06XP,PO,Onvoldoende
64,IKC De Bavinck (17OS-C1),41338.0,17OS,PO,Voldoende
65,,,28GP,PO,Voldoende
66,bs De Spelelier 09QY-C1,41633.0,09QY,PO,Onvoldoende
67,Taalschool De Kameleon,41639.0,15LX,PO,Basistoezicht
68,Nederlandse School,,28JV,PO,Onvoldoende
69,Christelijke basisschool De,41127.0,06RY,PO,Geen eindoordeel
70,,,28GP,PO,Voldoende
71,sbo-school De Boemerang,41516.0,20AG,PO,Voldoende
72,RKBS de Vlinder,43318.0,26AN,PO,Voldoende
73,o.b.s. Oud Avereest,41630.0,11HS,PO,Onvoldoende
74,NTC La Moraleja,,28GH,PO,Basistoezicht
75,basisschool Steltloper,41516.0,08MW,PO,Geen eindoordeel
76,Basisschool De Klinkert,31017.0,06GH,PO,Goed
77,De Edelsteen (24CP-C2),41390.0,24CP,PO,Geen eindoordeel
78,,41528.0,12FF,PO,Geen eindoordeel
79,Schakelklassen in,41574.0,15HW,PO,Geen eindoordeel
80,De Octopus,41595.0,08EW,PO,Geen eindoordeel
81,,75388.0,06XU,PO,Voldoende
82,Tuindorp,41858.0,14LQ,PO,Geen eindoordeel
83,IKC De Schakel,41338.0,17OB,PO,Voldoende
84,Nederlandstalige school,,28GJ,PO,Geen eindoordeel
85,Rudolf Steinerschool (09ZG),41296.0,09ZG,PO,Onvoldoende
86,LanguageOne Singapore,,30JD,PO,Onvoldoende
87,Basisschool Noord (12DO),41413.0,12DO,PO,Onvoldoende
88,Narcis-Querido,41663.0,20VG,PO,Geen eindoordeel
89,"K. Norel, BRIN 04NV",41736.0,04NV,PO,Voldoende
90,Daltonschool Reggewinde,23128.0,08TJ,PO,Voldoende
91,Wereldwijs Opvang,41527.0,15AN,PO,Geen eindoordeel
92,,41345.0,18GW,PO,Voldoende
93,"Yunus Emre, locatie Schalk",40272.0,31PG,PO,Geen eindoordeel
94,Rooms Katholieke,42828.0,Unnamed_School,PO,Onvoldoende
95,,24597.0,18BJ,PO,Voldoende
96,IKC De Wenteling (12EY),41812.0,12EY,PO,Onvoldoende
97,CBS Schatkaart,78782.0,Unnamed_School,PO,Geen eindoordeel
98,KC Skoatterwiis,41573.0,Unnamed_School,PO,Geen eindoordeel
99,Theresiaschool(17DF-C1),24597.0,17DF,PO,Voldoende
100,"Kindercampus Wantijschool,",41518.0,18MO,PO,Voldoende
101,OBS de Keikamp 13AT,41413.0,13AT,PO,Voldoende
102,sbo Luc Stevens,41400.0,21GQ,PO,Onvoldoende
103,,32580.0,02RT,PO,Geen eindoordeel
104,,,28EN,PO,Voldoende
105,SBO Koningin Julianaschool,41424.0,18YH,PO,Geen eindoordeel
106,De Dorpsbeuk,41481.0,10SO,PO,Geen eindoordeel
107,"Montessori Campus, 31TB|C1",41676.0,31TB,PO,Zeer zwak
108,Jan Campert School 15AP,41375.0,15AP,PO,Zeer zwak
109,,73114.0,04BX,PO,Onvoldoende
110,"NTC-school De Blauwe Lotus,",,28LN,PO,Voldoende
111,"St Bavoschool, locatie Eem",85255.0,19RK,PO,Voldoende
112,Sint Antoniusschool,45000.0,08PM,PO,Voldoende
113,Hugo de Grootschool,41645.0,19RD,PO,Geen eindoordeel
114,,41878.0,12VF,PO,Geen eindoordeel
115,AZC-school De Waaier,41566.0,20FB,PO,Geen eindoordeel
116,,75388.0,09HI,PO,Voldoende
117,,41386.0,13GC,PO,Geen eindoordeel
118,SBO Laurentius (21GJ),40928.0,21GJ,PO,Geen eindoordeel
119,Openbare basisschool De,42538.0,22KC,PO,Goed
120,,32073.0,11VZ,PO,Geen eindoordeel
121,Katholieke school voor,42818.0,04CV,PO,Voldoende
122,Theresiaschool(17DF-C1),24597.0,17DF,PO,Voldoende
123,NTC po en vo Zürich De,,28PP,PO,Voldoende
124,CBS Klim Op (11FL-C1),41396.0,11FL,PO,Voldoende
125,,41534.0,23WR,PO,Voldoende
126,ntc Nederlandse taalschool,,28GT,PO,Voldoende
127,OBS 't Vierschip 21LW-C1,42610.0,21LW,PO,Goed
128,Van Heemstraschool (05PA),41473.0,05PA,PO,Voldoende
129,De Vossenberg | 13YW,40874.0,13YW,PO,Onvoldoende
130,De Kinderboom,81316.0,14GL,PO,Geen eindoordeel
131,icbs Het Koraal 30FU|C1,41251.0,30FU,PO,Goed
132,rk/pc Jenaplanschool Kristalla,45000.0,11CB,PO,Voldoende
133,De Oranje Kameel,,30NW,PO,Geen eindoordeel
134,,42554.0,14AL,PO,Voldoende
135,NTC De Taaltuin,,28PF,PO,Voldoende
136,Synergieschool bestaande uit,41692.0,23HG,PO,Geen eindoordeel
137,De Regenboog,41483.0,12HM,PO,Voldoende
138,De Kosmos,41616.0,17TW,PO,Voldoende
139,SBO SAM (twee locaties:,40631.0,19PA,PO,Voldoende
140,De Nederlandse school,,28HC,PO,Voldoende
141,"De Esdoorn, ntc-basisschool",,31KC,PO,Geen eindoordeel
142,,22725.0,08SP,PO,Voldoende
143,Mondomijn [30AZ],30240.0,30AZ,PO,Voldoende
144,LanguageOne Genève,,28NM,PO,Voldoende
145,Jenaplanschool Cleophas,42616.0,05JW,PO,Geen eindoordeel
146,"cbs De Duif, 13PG|C1",41639.0,13PG,PO,Onvoldoende
147,,41516.0,03SV,PO,Voldoende
148,De Achtsprong 07RV|C1,20671.0,07RV,PO,Voldoende
149,,44318.0,04UL,PO,Voldoende
150,KC Willem-Alexander (11RR),41270.0,11RR,PO,Onvoldoende
151,SBO De Vogelveste (14CG),60985.0,14CG,PO,Onvoldoende
152,De Hollandse School Limited,,28GE,PO,Voldoende
153,,41396.0,11RJ,PO,Voldoende
154,basisschool Mariadonk,31017.0,06WV,PO,Goed
155,De Wegwijzer,24597.0,18AX,PO,Goed
156,CBS De Claercamp,42852.0,07YK,PO,Voldoende
157,De Zalmplaat (10QX-C1),47595.0,10QX,PO,Goed
158,,77235.0,07SI,PO,Voldoende
159,De Poolster 15MH|C1,40928.0,15MH,PO,Goed
