Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Brin,KwaliteiOnderwijs
0.011316524908957407,0.011468437667491605,0.21059772281407774,0.009114396995238644,0.0171409785090852,27YP,5
0.0,0.024648355018658086,0.009045261404187422,0.14864949602312102,0.02605505894940774,29TX,0
0.11198711218385492,0.002779121583971268,0.00786640574454774,0.0018306361237767474,0.0425275414238783,10BF,3
0.023018496681386155,0.08643736067560641,0.017108323980866896,0.010280154290654913,0.04338775817062135,08SY,5
0.0,0.005413757432682024,0.0,0.2163030400184188,0.0,31DT,2
0.012128291873739355,0.007013485701380855,0.006791250892183334,0.14447663258582438,0.020752811727584614,29VP,0
0.0,0.1820954462384543,0.0,0.005950336763605832,0.0,27YG,1
0.015807263332403693,0.03401935497002822,0.12444979505383152,0.031239711563636564,0.009627455135218121,12WE,5
0.04505147144519905,0.055674925060056016,0.049736139512368126,0.0005741708692106088,0.028011218305908366,12UZ,0
0.0,0.0,0.2381155618712703,0.0,0.0,03OK,5
0.0011211203894072057,0.17582849475348786,0.00680811072785236,0.001521355403809372,0.022659111148331867,04JV,1
0.11681346479326324,0.010083197895854573,0.016009061134774096,0.005870971720352733,0.0007366829577069974,12VV,4
0.04107140870403129,0.0,0.1852011193862775,0.0035485508462622497,0.0,15EQ,5
0.07055610720814622,0.030704968344376107,0.05435557295318124,0.0,0.0,17QA,4
0.035749834668914716,0.06144822767073378,0.010512553882600209,0.023728669625840797,0.05294753087052587,04ST,5
0.13982544115746737,0.006184413708071117,0.005219546319322737,0.0,0.016323318415836074,15IR,3
0.020376788086449577,0.0,0.20311916238887456,0.00890689745941341,0.011797691016608722,17PR,0
0.058949622225435365,0.043932620164125614,0.029577665698099026,0.008749518598492599,0.043392697524489196,18WN,0
0.04654611705203982,0.05521879878107829,0.010097634780854414,0.01987553938388451,0.03498612839163681,07BH,5
0.0,0.0,0.0016104584134629236,0.18309697219486204,0.0,28HA,5
0.011755809337116223,0.13421625092865133,0.00040516666664655316,0.03260856422320836,0.0,13DS,1
0.0,0.019543440032832333,0.2137841455831397,0.003231475942281339,0.009337659471395986,32BV,5
0.0,0.01595550161738736,0.005547805031105947,0.1699253066172292,0.0,28HV,0
0.012935708618145338,0.010226910117511612,0.02096661012978699,0.1479995450323346,0.0038174049487226082,30TY,0
0.046288016406538984,0.05248904945028922,0.017328077373908207,0.024394154694017418,0.030820059877757152,18ZI,0
0.0,0.18411841223515932,0.006017999864372274,0.0,0.0,21LW,1
0.03681190021216226,0.03655294553580501,0.007098263813943346,0.020642073418192578,0.09269362589952856,09BP,5
0.01360172254319108,0.0013391936025232355,0.0016535821794873996,0.1783769294149787,0.007077582373124393,30TN,5
0.0,0.023253020912927098,0.009535717345097453,0.19574328138862024,0.003380479450875351,28GN,0
0.010516752986013215,0.007770503596451036,0.0032703831674309957,0.16564356091295826,0.0,28PG,5
0.010592306999842331,0.1473503079851215,0.015330853704145709,0.009364609410600848,0.006508871551100386,05BJ,1
0.01543178977569712,0.09387672021419777,0.03426436643823648,0.007094083639309844,0.039734456266160456,07ZN,0
0.05134832483679122,0.05083130856923751,0.01153736109155641,0.02313834096260578,0.05186801132840113,14ZS,0
0.0,0.005581620527562032,0.0,0.16784300302225005,0.01829934361185476,28PP,0
0.05089937153994379,0.00025770397660654495,0.16356391312359247,0.0031142186017535014,0.0,05OM,5
0.030795471414223896,0.025204215948073136,0.14839956944987157,0.01177428840752652,0.014153231006396254,14VP,5
0.05922499855447083,0.044467546929873834,0.0284495725323027,0.012892883654767219,0.015427156603712812,05OZ,0
0.0,0.16526712694056706,0.012853845979223722,0.01800061332630055,0.008919679357249315,13RI,1
0.0,0.0011548103152830024,0.0,0.17238196895943603,0.022128845881816347,30NW,5
0.07173056730103226,0.04240603613167187,0.023339010885122084,0.006879883684485427,0.009265994235918585,16NU,4
0.004956068579837874,0.02379802449868963,0.20363471825044652,0.014363935793002153,0.007222326493603823,14VQ,5
0.06029168756883614,0.03833619030984781,0.04263829333113191,0.013665014981134878,0.0632176533351237,11HS,4
0.0,0.1838529686098477,0.0,0.005446584482572045,0.0,11HD,5
0.004957548811414833,0.02867786897722994,0.18867494438765636,0.006492202950960764,0.013028504645331744,07XG,5
0.01049275162096482,0.10461511655666021,0.0209406763835527,0.017511927895889578,0.04891478476930413,18LE,1
0.0,0.006754800913923551,0.22671405952884405,0.0,0.009623508030983061,11GK,0
0.0,0.01666922351602048,0.004655553046923463,0.0,0.24418908908773082,24EJ,5
0.0,0.013433984430948509,0.0,0.15535717688409098,0.03271612974282369,28PF,0
0.0,0.006079172424992077,0.22454368355629478,0.0,0.013541798200261475,16WW,5
0.0,0.02227293697181608,0.21664293012580368,0.0,0.006803878063597681,11RJ,0
0.0,0.0,0.0,0.1900569281032276,0.009030677536753674,28FK,0
0.0,0.017758527363976827,0.21208823189156562,0.005124628618020463,0.002616594541571263,05TF,0
0.0,0.018280768465280182,0.0,0.18483676837488122,0.0,30VG,0
0.0010049509121079195,0.18423278420374872,0.011784828817496977,0.0,0.0,07MQ,1
0.0,0.0,0.0,0.14915043850503693,0.0,28GX,0
0.004668571314973482,0.036266461052641245,0.015411499649480378,0.1190274809395978,0.012373323027811755,28EG,0
0.0,0.0,0.2279229377703721,0.0,0.0,11SY,0
